,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
296,397,349,220,220,17,10,56,62,13,5,3,4,57,86,0,86,0,2,4,1
297,466,365,218,218,6,9,55,47,19,11,8,4,73,62,0,84,1,2,0,3
298,380,432,258,258,18,13,57,43,14,13,8,5,47,73,62,1,1,1,3,6
299,593,323,212,212,5,12,52,37,14,6,5,2,48,85,0,68,0,2,3,2
300,477,313,222,222,13,6,48,55,8,3,1,3,61,62,0,82,1,3,1,1
301,347,568,247,247,12,12,46,47,18,11,2,6,51,71,70,0,4,1,0,1
302,424,379,265,265,10,13,46,45,11,11,3,7,54,75,62,4,3,1,1,5
303,521,455,248,248,10,9,37,37,9,11,2,7,47,64,1,54,2,0,0,1
304,232,425,212,212,15,12,52,46,7,17,4,6,50,42,70,0,2,2,1,2
305,411,542,251,251,7,7,50,47,12,14,5,6,64,81,76,6,0,1,1,5
306,191,869,155,155,8,4,35,34,6,16,15,2,45,47,55,0,0,1,1,2
307,331,526,237,237,12,16,51,40,6,7,2,4,65,69,62,0,1,2,1,0
308,225,667,205,205,7,9,48,53,4,19,7,2,53,84,81,1,3,0,1,3
309,580,328,258,258,7,13,58,50,18,6,1,5,77,60,0,83,0,0,4,1
310,599,274,223,223,6,12,48,46,16,8,5,2,88,65,40,35,0,1,2,1
311,501,281,253,253,14,8,38,54,24,4,2,4,88,71,69,0,3,6,1,1
312,675,344,190,190,7,9,40,54,22,9,1,10,66,68,0,75,7,1,2,2
313,390,635,207,207,8,13,51,46,4,14,7,2,48,98,68,2,0,2,8,0
314,314,514,262,262,10,6,42,49,7,19,4,1,67,106,71,0,2,4,3,1
315,366,550,243,243,9,6,38,47,7,16,7,1,75,56,67,0,3,1,1,2
316,229,603,218,218,11,10,54,40,14,20,3,7,66,61,69,0,1,1,1,3
317,525,262,262,262,12,12,47,42,14,8,4,3,69,48,2,64,3,3,0,1
318,488,382,256,256,13,14,47,49,5,6,4,1,52,57,0,69,3,0,0,2
319,366,540,314,314,7,4,49,58,6,13,7,1,64,67,90,0,0,1,4,2
320,585,252,234,234,9,17,49,36,12,6,2,6,49,57,0,60,1,1,0,0
321,424,444,205,205,6,8,47,52,6,12,5,4,62,65,83,1,0,2,1,0
322,332,440,281,281,13,14,67,52,9,22,6,7,67,79,2,87,1,5,4,1
323,428,411,220,220,9,14,59,54,5,8,2,3,51,57,81,0,2,2,5,3
324,414,398,255,255,12,11,45,49,15,8,4,5,51,83,67,2,3,5,3,1
325,260,715,186,186,7,7,39,41,6,23,9,0,73,52,57,9,2,2,1,0
326,542,348,224,224,11,11,44,43,13,7,4,4,46,90,0,61,1,2,3,2
327,399,515,220,220,5,14,51,30,11,5,4,2,36,76,35,27,1,2,0,1
